,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,kelas
2010,P,EKO,G1,SD,BPN,BPN,IPS1_CUM,IPS2_CUM,IPK_CUM-LLW
2012,P,EKO,G5,SMTA,LL,PNS,IPS1_SM,IPS2_SM,IPK_CUM-LTW
2017,L,EKO,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_KM,IPK_SM-LLW
2018,L,EKO,G4,SRJN,LL,LL,IPS1_SM,IPS2_M,IPK_SM-LLW
2023,L,EKO,G4,SMP,PDG,PNS,IPS1_SM,IPS2_M,IPK_SM-LLW
2024,P,EKO,G4,SMTA,PDG,PDG,IPS1_SM,IPS2_SM,IPK_CUM-LLW
2026,P,EKO,G2,SRJN,LL,PS,IPS1_KM,IPS2_KM,IPK_SM-LLW
2027,P,EKO,G4,SD,PDG,PDG,IPS1_SM,IPS2_SM,IPK_CUM-LTW
2030,P,EKO,G3,SRJN,GRD,PSN,IPS1_SM,IPS2_M,IPK_SM-LTW
2035,P,EKO,G2,SD,LL,PNS,IPS1_SM,IPS2_SM,IPK_SM-LTW
2036,L,EKO,G3,SD,LL,PDG,IPS1_SM,IPS2_SM,IPK_SM-LLW
2037,L,EKO,G4,SRJN,GRD,GRD,IPS1_M,IPS2_KM,IPK_SM-LLW
2038,P,EKO,G2,SMTA,LL,PSN,IPS1_SM,IPS2_CUM,IPK_CUM-LTW
2041,L,EKO,G3,SMTA,LL,ABRI,IPS1_M,IPS2_KM,IPK_SM-LTW
2043,P,EKO,G4,SRJN,LL,GRD,IPS1_SM,IPS2_M,IPK_KM-LLW
2044,P,EKO,G4,SMTA,GRD,LL,IPS1_SM,IPS2_SM,IPK_CUM-LTW
2045,P,EKO,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,IPK_SM-LTW
2047,L,EKO,G4,SRJN,PNS,PNS,IPS1_SM,IPS2_CUM,IPK_CUM-LTW
2049,L,EKO,G3,SMTA,LL,BPN,IPS1_SM,IPS2_KM,IPK_SM-LLW
2051,L,EKO,G2,SMTA,LL,PDG,IPS1_SM,IPS2_KM,IPK_SM-LLW
2053,P,EKO,G2,SRJN,PSN,PDG,IPS1_SM,IPS2_CUM,IPK_CUM-LTW
2054,P,EKO,G5,SRJN,GRD,PDG,IPS1_SM,IPS2_CUM,IPK_SM-LTW
2055,L,EKO,G6,SMP,BPN,BPN,IPS1_SM,IPS2_CUM,IPK_SM-LTW
2056,P,EKO,G3,SMTA,PSN,PSN,IPS1_SM,IPS2_SM,IPK_SM-LTW
2058,P,EKO,G5,SMTA,PS,PS,IPS1_KM,IPS2_KM,IPK_SM-LLW
2060,P,EKO,G2,SMTA,BPN,PS,IPS1_SM,IPS2_CUM,IPK_CUM-LTW
2061,P,EKO,G3,SMTA,LL,PNS,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
2062,P,EKO,G4,SMTA,PNS,PNS,IPS1_SM,IPS2_CUM,IPK_SM-LLW
2063,P,EKO,G3,SMTA,LL,PS,IPS1_CUM,IPS2_SM,IPK_CUM-LTW
2067,L,EKO,G3,SRJN,GRD,PS,IPS1_SM,IPS2_CUM,IPK_SM-LTW
