,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IPK_TERAKHIR
119,P,AKU,G4,SRJN,GRD,GRD,IPK_CUM
120,P,AKU,G4,SRJN,PNS,PDG,IPK_CUM
121,P,AKU,G4,SMTA,PDG,ABRI,IPK_CUM
122,P,AKU,G3,SRJN,PNS,GRD,IPK_CUM
123,P,AKU,G3,SMTA,LL,PNS,IPK_SM
124,P,AKU,G2,SD,PDG,LL,IPK_CUM
125,P,AKU,G5,SRJN,GRD,PSN,IPK_SM
126,P,AKU,G2,SMP,PDG,LL,IPK_SM
127,P,AKU,G4,SRJN,PNS,PDG,IPK_CUM
128,P,AKU,G4,SRJN,GRD,GRD,IPK_SM
129,L,AKU,G7,SRJN,LL,PNS,IPK_M
130,L,AKU,G4,SMTA,PSN,PS,IPK_SM
131,P,AKU,G3,SMTA,LL,GRD,IPK_CUM
132,P,AKU,G4,SRJN,PDG,GRD,IPK_CUM
133,P,AKU,G3,SRJN,LL,PDG,IPK_CUM
134,P,AKU,G4,SRJN,PS,PNS,IPK_CUM
135,P,AKU,G2,SMTA,LL,LL,IPK_CUM
136,P,AKU,G2,SRJN,LL,PDG,IPK_SM
137,P,AKU,G3,SRJN,LL,PS,IPK_CUM
138,L,AKU,G3,SRJN,GRD,GRD,IPK_CUM
139,L,AKU,G4,SMP,BPN,GRD,IPK_CUM
140,P,AKU,G4,SRJN,LL,GRD,IPK_SM
141,L,AKU,G3,SRJN,GRD,BPN,IPK_SM
142,P,AKU,G4,SRJN,GRD,GRD,IPK_SM
143,L,AKU,G2,SMP,LL,BPN,IPK_CUM
144,P,AKU,G4,SRJN,GRD,GRD,IPK_SM
145,P,AKU,G5,SMTA,PNS,GRD,IPK_SM
146,L,AKU,G4,SRJN,PS,GRD,IPK_SM
147,L,AKU,G4,SRJN,PS,PS,IPK_SM
148,P,AKU,G4,SRJN,GRD,GRD,IPK_CUM
149,P,AKU,G2,SMP,BPN,BPN,IPK_CUM
150,P,AKU,G3,SRJN,GRD,PS,IPK_CUM
151,L,AKU,G3,SRJN,PSN,PSN,IPK_CUM
152,P,AKU,G4,SMTA,PDG,PDG,IPK_CUM
153,P,AKU,G4,SRJN,PDG,PDG,IPK_CUM
154,P,AKU,G3,SMTA,LL,PS,IPK_SM
155,P,AKU,G2,SMP,BPN,BPN,IPK_CUM
156,P,AKU,G4,SRJN,GRD,LL,IPK_CUM
157,L,AKU,G4,SRJN,GRD,GRD,IPK_CUM
158,P,AKU,G2,LL,PDG,PDG,IPK_CUM
159,L,AKU,G3,SMTA,LL,PNS,IPK_SM
160,P,AKU,G3,SMP,LL,PNS,IPK_CUM
161,L,AKU,G3,SRJN,LL,PDG,IPK_SM
162,L,AKU,G5,SRJN,GRD,GRD,IPK_CUM
163,P,AKU,G2,SD,LL,LL,IPK_CUM
164,P,AKU,G5,SRJN,GRD,PSN,IPK_CUM
165,P,AKU,G4,SD,LL,PDG,IPK_CUM
166,L,AKU,G4,SMTA,PSN,PNS,IPK_SM
167,P,AKU,G3,SRJN,PDG,PDG,IPK_SM
168,L,AKU,G4,SRJN,GRD,LL,IPK_CUM
169,L,AKU,G4,SRJN,GRD,GRD,IPK_SM
170,P,AKU,G3,SMTA,GRD,LL,IPK_SM
171,P,AKU,G3,SMTA,PDG,GRD,IPK_SM
