,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,STATUS_LULUS
357,P,EKO,G2,SMTA,PDG,PDG,LLW
358,P,EKO,G3,SMTA,GRD,GRD,LTW
359,P,EKO,G2,SMP,LL,PS,LTW
360,P,EKO,G5,SRJN,LL,LL,LLW
361,P,EKO,G1,SMP,PDG,PDG,LTW
362,P,EKO,G3,SMTA,LL,PNS,LTW
363,P,EKO,G2,SMTA,LL,PDG,LTW
364,P,EKO,G4,SMTA,LL,GRD,LTW
365,P,EKO,G5,SRJN,PDG,PS,LLW
366,L,EKO,G3,SRJN,GRD,GRD,LTW
367,L,EKO,G1,SMP,LL,BPN,LLW
368,L,EKO,G3,SRJN,GRD,GRD,LLW
369,P,EKO,G3,SMTA,LL,PS,LTW
370,P,EKO,G3,SRJN,PNS,PDG,LLW
371,P,EKO,G4,SRJN,GRD,GRD,LTW
372,L,EKO,G1,SMTA,PDG,PDG,LLW
373,L,EKO,G3,SMTA,BPN,PS,LTW
374,P,EKO,G3,SMTA,PDG,PS,LTW
375,P,EKO,G3,SMTA,LL,GRD,LTW
376,L,EKO,G3,SMTA,LL,PNS,LC
377,L,EKO,G3,SMTA,LL,PS,LTW
378,L,EKO,G1,SD,LL,PDG,LLW
379,P,EKO,G3,SMTA,LL,PNS,LTW
380,P,EKO,G3,SMTA,PDG,PSN,LLW
381,L,EKO,G3,SMTA,PSN,LL,LTW
382,P,EKO,G4,SMTA,LL,PSN,LLW
383,P,EKO,G3,SMTA,LL,PDG,LLW
384,P,EKO,G4,SRJN,GRD,PDG,LLW
385,P,EKO,G3,SRJN,LL,LL,LLW
386,P,EKO,G3,SMTA,GRD,PNS,LLW
387,P,EKO,G3,SD,PDG,PDG,LTW
388,P,EKO,G4,SRJN,PDG,PNS,LLW
389,L,EKO,G3,SRJN,GRD,PNS,LLW
390,L,EKO,G2,SD,BPN,PDG,LLW
391,L,EKO,G2,SD,PDG,PDG,LLW
392,L,EKO,G3,SRJN,GRD,GRD,LLW
