,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IPK_TERAKHIR
319,L,MTK,G2,LL,BPN,BPN,IPK_SM
320,L,MTK,G4,SRJN,GRD,GRD,IPK_SM
321,P,MTK,G1,SD,LL,BPN,IPK_KM
322,P,MTK,G3,SMTA,LL,PNS,IPK_SM
323,P,MTK,G1,SMP,PS,PS,IPK_M
324,P,MTK,G3,SMP,LL,PS,IPK_SM
325,L,MTK,G3,SMP,LL,PS,IPK_SM
326,P,MTK,G1,SD,LL,PSN,IPK_SM
327,P,MTK,G2,LL,LL,PDG,IPK_SM
328,P,MTK,G3,SMTA,LL,PNS,IPK_SM
329,L,MTK,G3,SRJN,PDG,PNS,IPK_SM
330,P,MTK,G3,SRJN,GRD,PSN,IPK_SM
331,L,MTK,G3,LL,PDG,PNS,IPK_M
332,L,MTK,G2,SD,BPN,BPN,IPK_M
333,P,MTK,G3,SMTA,PS,GRD,IPK_SM
334,P,MTK,G1,SMP,BPN,BPN,IPK_SM
335,P,MTK,G2,SD,LL,PDG,IPK_SM
336,P,MTK,G2,SRJN,GRD,PS,IPK_M
337,L,MTK,G4,SMTA,GRD,GRD,IPK_SM
338,P,MTK,G2,LL,BPN,PSN,IPK_SM
339,P,MTK,G2,SD,BPN,PNS,IPK_SM
340,P,MTK,G6,SMTA,PNS,PNS,IPK_SM
341,L,MTK,G1,SMTA,PS,PS,IPK_SM
342,L,MTK,G3,SRJN,GRD,GRD,IPK_M
343,P,MTK,G4,SMTA,LL,LL,IPK_SM
344,P,MTK,G1,SD,LL,PDG,IPK_SM
345,L,MTK,G4,SMTA,LL,PS,IPK_SM
346,P,MTK,G3,SMTA,PDG,PNS,IPK_SM
347,P,MTK,G3,SRJN,GRD,PSN,IPK_SM
348,P,MTK,G3,SRJN,GRD,PNS,IPK_SM
349,P,MTK,G4,SMP,LL,PS,IPK_CUM
350,P,MTK,G3,SMTA,PDG,PNS,IPK_SM
351,L,MTK,G3,SRJN,GRD,GRD,IPK_SM
352,L,MTK,G3,SMTA,GRD,PNS,IPK_SM
353,L,MTK,G2,SMTA,LL,PSN,IPK_SM
354,L,MTK,G2,SD,LL,PDG,IPK_M
355,P,MTK,G1,SMTA,PDG,PS,IPK_SM
356,L,MTK,G4,SRJN,GRD,PNS,IPK_SM
357,P,MTK,G1,SD,LL,LL,IPK_SM
358,P,MTK,G1,SD,PDG,BPN,IPK_M
359,P,MTK,G2,SRJN,GRD,GRD,IPK_SM
360,L,MTK,G2,SMTA,LL,PDG,IPK_M
361,L,MTK,G3,SRJN,GRD,PNS,IPK_SM
362,L,MTK,G2,SD,LL,PDG,IPK_KM
363,P,MTK,G2,SRJN,LL,PDG,IPK_SM
364,P,MTK,G3,SMTA,LL,PNS,IPK_SM
365,P,MTK,G2,SMP,LL,PDG,IPK_SM
366,P,MTK,G3,SMTA,LL,PNS,IPK_SM
367,L,MTK,G3,SD,BPN,BPN,IPK_KM
368,P,MTK,G3,SMTA,GRD,PDG,IPK_SM
369,P,MTK,G4,SMTA,PNS,LL,IPK_SM
370,P,MTK,G1,SMP,BPN,BPN,IPK_SM
371,P,MTK,G2,SMTA,LL,PS,IPK_M
372,P,MTK,G3,SMTA,LL,PNS,IPK_SM
373,P,MTK,G1,SMTA,LL,PS,IPK_SM
374,P,MTK,G3,SRJN,LL,GRD,IPK_KM
375,L,MTK,G7,SRJN,LL,PS,IPK_SM
376,P,MTK,G3,SMTA,LL,PSN,IPK_SM
377,P,MTK,G3,SMTA,LL,PDG,IPK_SM
378,L,MTK,G4,SMTA,LL,PS,IPK_SM
379,P,MTK,G1,LL,LL,LL,IPK_SM
380,L,MTK,G2,SD,LL,PDG,IPK_SM
381,P,MTK,G2,SMTA,LL,PS,IPK_SM
382,P,MTK,G3,SMP,PDG,PDG,IPK_M
383,L,MTK,G2,SMTA,PDG,PDG,IPK_M
384,L,MTK,G1,SRJN,LL,LL,IPK_M
385,P,MTK,G3,SRJN,GRD,GRD,IPK_SM
386,P,MTK,G4,SMTA,PS,PDG,IPK_KM
387,P,MTK,G1,SD,LL,BPN,IPK_SM
388,L,MTK,G3,SRJN,LL,PDG,IPK_SM
389,P,MTK,G4,SMTA,LL,PS,IPK_SM
390,P,MTK,G3,SMP,LL,BPN,IPK_SM
391,P,MTK,G1,LL,BPN,BPN,IPK_M
392,L,MTK,G3,SRJN,GRD,PS,IPK_SM
393,P,MTK,G3,SMTA,LL,GRD,IPK_SM
394,P,MTK,G3,SMTA,LL,GRD,IPK_SM
395,P,MTK,G3,SMTA,LL,ABRI,IPK_SM
396,P,MTK,G3,SMTA,LL,GRD,IPK_M
397,P,MTK,G4,SRJN,PNS,PNS,IPK_SM
398,L,MTK,G2,SMTA,PDG,GRD,IPK_SM
399,P,MTK,G3,SMP,PDG,PS,IPK_SM
400,P,MTK,G3,SMTA,LL,PS,IPK_SM
401,P,MTK,G5,SRJN,PS,GRD,IPK_KM
