@relation data_sosial_ipk_dem
@attribute JK{L,P}
@attribute JUR{AKU,EKO,HUK,KOM}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute IPK_TERAKHIR{IPK_CUM,IPK_KM,IPK_M,IPK_SM}
@data
"L","HUK","G4","SRJN","PDG","GRD","IPK_M"
"L","HUK","G6","SRJN","GRD","GRD","IPK_CUM"
"P","HUK","G4","SRJN","GRD","GRD","IPK_CUM"
"L","HUK","G3","SD","PDG","PDG","IPK_SM"
"L","HUK","G5","SRJN","LL","PS","IPK_SM"
"L","HUK","G2","SMTA","PDG","PDG","IPK_SM"
"P","HUK","G4","SRJN","LL","PNS","IPK_CUM"
"L","HUK","G4","SRJN","GRD","PS","IPK_SM"
"P","HUK","G4","SMTA","LL","PNS","IPK_SM"
"L","HUK","G4","SRJN","PNS","PNS","IPK_SM"
"P","HUK","G3","SD","LL","LL","IPK_CUM"
"P","HUK","G3","SMTA","LL","LL","IPK_SM"
"L","HUK","G4","SRJN","GRD","GRD","IPK_M"
"L","HUK","G3","SD","PDG","PDG","IPK_M"
"P","HUK","G7","SRJN","LL","LL","IPK_CUM"
"L","HUK","G4","SRJN","PNS","GRD","IPK_SM"
"L","HUK","G4","SRJN","GRD","GRD","IPK_M"
"L","HUK","G3","SMTA","PDG","PSN","IPK_SM"
"P","HUK","G3","SMTA","PDG","PDG","IPK_CUM"
"P","HUK","G3","SRJN","LL","PNS","IPK_CUM"
"P","HUK","G5","SMTA","PNS","PNS","IPK_SM"
"P","HUK","G5","SMTA","LL","LL","IPK_SM"
"P","HUK","G2","SD","LL","BPN","IPK_CUM"
"L","HUK","G3","SMTA","PDG","PS","IPK_SM"
"P","HUK","G5","SMTA","PNS","LL","IPK_CUM"
"P","HUK","G4","SRJN","GRD","GRD","IPK_SM"
"L","HUK","G3","SD","PDG","PDG","IPK_M"
"P","HUK","G4","SMTA","PDG","LL","IPK_SM"
"L","HUK","G4","SMTA","LL","PSN","IPK_SM"
"L","HUK","G7","SMTA","PDG","PDG","IPK_SM"
"L","HUK","G3","SRJN","GRD","GRD","IPK_KM"
"P","HUK","G4","SRJN","PDG","GRD","IPK_CUM"
"P","HUK","G4","SMTA","LL","LL","IPK_SM"
"P","HUK","G4","SRJN","PNS","PNS","IPK_CUM"
"L","HUK","G4","SMTA","LL","LL","IPK_M"
"P","HUK","G4","SD","PDG","PDG","IPK_CUM"
"P","HUK","G3","SMTA","PDG","PDG","IPK_CUM"
"P","HUK","G4","SMTA","LL","PNS","IPK_CUM"
"P","HUK","G3","SRJN","PDG","PDG","IPK_SM"
"L","HUK","G3","SMTA","LL","PDG","IPK_SM"
"L","HUK","G3","SRJN","PNS","PDG","IPK_SM"
"L","HUK","G4","SRJN","PNS","PS","IPK_SM"
"L","HUK","G4","SRJN","GRD","PNS","IPK_SM"
"L","HUK","G4","SMTA","PDG","PDG","IPK_SM"
"L","HUK","G4","SMTA","LL","PNS","IPK_SM"
"P","HUK","G4","SMTA","PDG","GRD","IPK_M"
"P","HUK","G4","SRJN","LL","PSN","IPK_SM"
"L","HUK","G3","SMTA","LL","GRD","IPK_KM"
"P","HUK","G5","SMTA","PDG","PDG","IPK_SM"
"P","HUK","G5","SMTA","LL","PNS","IPK_SM"
"P","HUK","G4","SRJN","GRD","LL","IPK_CUM"
"L","HUK","G4","SMTA","PDG","PNS","IPK_SM"
"L","HUK","G4","SRJN","GRD","PNS","IPK_SM"
"P","HUK","G3","SMTA","PDG","PNS","IPK_CUM"
"P","HUK","G4","SRJN","LL","PDG","IPK_SM"
"L","HUK","G4","SMTA","LL","PNS","IPK_SM"
"L","HUK","G4","SMTA","LL","PNS","IPK_SM"
"L","HUK","G5","SRJN","GRD","GRD","IPK_SM"
"P","HUK","G2","SMTA","PDG","PDG","IPK_SM"
"L","HUK","G4","SRJN","LL","PDG","IPK_SM"
"L","HUK","G2","SMTA","PDG","PDG","IPK_SM"
"P","HUK","G4","SRJN","GRD","GRD","IPK_CUM"
"P","HUK","G3","SRJN","LL","PNS","IPK_SM"
"P","HUK","G4","SMTA","LL","LL","IPK_SM"
"P","HUK","G2","SMTA","PSN","PSN","IPK_SM"
"P","HUK","G5","SRJN","PDG","PDG","IPK_CUM"
"P","HUK","G4","SMTA","PNS","PNS","IPK_CUM"
"P","HUK","G3","SMTA","LL","PNS","IPK_CUM"
"P","HUK","G4","SRJN","PNS","PNS","IPK_SM"
"P","HUK","G5","SMTA","LL","PDG","IPK_SM"
"P","HUK","G3","SRJN","LL","GRD","IPK_CUM"
"P","HUK","G4","SMTA","LL","PDG","IPK_KM"
"P","HUK","G4","SMP","LL","PDG","IPK_CUM"
"P","HUK","G3","SRJN","PDG","PS","IPK_SM"
"P","HUK","G4","SRJN","PNS","PNS","IPK_CUM"
"P","HUK","G3","SRJN","GRD","PS","IPK_SM"
"P","HUK","G4","SRJN","GRD","PNS","IPK_CUM"
"L","HUK","G3","SMTA","PS","PS","IPK_M"
"P","HUK","G3","SRJN","PDG","PDG","IPK_SM"
"P","HUK","G3","SMTA","LL","PNS","IPK_SM"
"L","HUK","G4","SRJN","PNS","PSN","IPK_SM"
"L","HUK","G4","SMTA","PDG","LL","IPK_SM"
"P","HUK","G4","SRJN","GRD","GRD","IPK_CUM"
"P","HUK","G5","SD","LL","PDG","IPK_CUM"
"P","HUK","G3","SRJN","PSN","PSN","IPK_SM"
"L","HUK","G2","SMTA","LL","PSN","IPK_SM"
"P","HUK","G3","SMTA","GRD","GRD","IPK_SM"
"P","HUK","G7","SRJN","PDG","PDG","IPK_SM"
"P","HUK","G4","SMTA","PDG","PSN","IPK_CUM"
"L","HUK","G4","SRJN","LL","PSN","IPK_SM"
"L","HUK","G4","SMTA","LL","PSN","IPK_SM"
"P","HUK","G7","SRJN","LL","PS","IPK_CUM"
"L","HUK","G5","SRJN","PNS","LL","IPK_SM"
"P","HUK","G4","SRJN","PDG","PSN","IPK_CUM"
"P","HUK","G3","SRJN","GRD","PS","IPK_SM"
"L","HUK","G2","SMTA","BPN","BPN","IPK_SM"
"L","HUK","G3","SRJN","GRD","PNS","IPK_SM"
"L","HUK","G2","SMTA","LL","PSN","IPK_SM"
"P","HUK","G3","SD","PDG","PDG","IPK_CUM"
"L","HUK","G4","SRJN","LL","PS","IPK_M"
"L","HUK","G2","SMTA","PSN","LL","IPK_SM"
"L","HUK","G3","SMP","LL","GRD","IPK_SM"
"L","HUK","G4","SRJN","LL","PNS","IPK_SM"
"L","HUK","G4","SMTA","LL","PNS","IPK_SM"
"P","HUK","G2","SRJN","PS","LL","IPK_CUM"
"P","HUK","G4","SRJN","PNS","PNS","IPK_CUM"
"P","HUK","G2","SMTA","PS","PS","IPK_SM"
"L","HUK","G3","SRJN","GRD","GRD","IPK_SM"
"P","HUK","G4","SMTA","PNS","GRD","IPK_SM"
"P","HUK","G3","SMTA","PNS","PNS","IPK_SM"
"L","HUK","G4","SRJN","LL","GRD","IPK_M"
"P","HUK","G5","SRJN","GRD","PNS","IPK_M"
"L","HUK","G4","SMTA","PDG","PS","IPK_SM"
"P","HUK","G3","SRJN","LL","PS","IPK_SM"
"L","HUK","G7","SRJN","GRD","GRD","IPK_SM"
"P","HUK","G5","SRJN","LL","PNS","IPK_SM"
"L","HUK","G2","SMTA","PSN","PDG","IPK_SM"
"L","HUK","G3","SRJN","GRD","PSN","IPK_KM"
"P","HUK","G4","SRJN","GRD","GRD","IPK_SM"
"P","HUK","G3","SRJN","LL","PNS","IPK_SM"
"L","HUK","G4","SRJN","GRD","GRD","IPK_SM"
"P","HUK","G2","LL","PDG","PDG","IPK_CUM"
"L","HUK","G4","SRJN","PNS","LL","IPK_SM"
"P","HUK","G6","SRJN","PNS","PNS","IPK_SM"
"P","HUK","G4","SMTA","PS","PS","IPK_CUM"
"L","HUK","G6","SRJN","PNS","PDG","IPK_SM"
"L","HUK","G3","SRJN","PSN","PSN","IPK_SM"
"L","HUK","G3","SRJN","GRD","PSN","IPK_M"
"L","HUK","G4","SD","BPN","PNS","IPK_SM"
"L","HUK","G4","SMTA","LL","LL","IPK_SM"
"L","HUK","G4","SRJN","GRD","PDG","IPK_SM"
"P","HUK","G4","SMTA","LL","PSN","IPK_CUM"
"P","HUK","G4","SRJN","LL","PS","IPK_SM"
"P","HUK","G3","SMTA","LL","PDG","IPK_CUM"
"P","HUK","G3","SRJN","PDG","PDG","IPK_CUM"
"P","HUK","G1","SRJN","PNS","PSN","IPK_SM"
"L","HUK","G3","SRJN","GRD","BPN","IPK_SM"
"L","HUK","G5","SRJN","PNS","PNS","IPK_SM"
"L","HUK","G3","SMP","LL","PDG","IPK_CUM"
"L","HUK","G4","SMTA","PS","PS","IPK_SM"
"P","HUK","G3","SMTA","LL","PS","IPK_SM"
"P","HUK","G2","SMTA","PNS","PSN","IPK_SM"
"P","HUK","G4","SRJN","GRD","PS","IPK_SM"
"L","HUK","G4","SRJN","LL","PNS","IPK_SM"
"L","HUK","G5","SMTA","PDG","PDG","IPK_SM"
"P","HUK","G2","SD","LL","PS","IPK_CUM"
"P","HUK","G4","SMTA","PNS","LL","IPK_SM"
"L","HUK","G4","SRJN","PNS","PSN","IPK_SM"
"L","HUK","G1","SMTA","PDG","LL","IPK_SM"
"P","HUK","G3","SRJN","PS","PNS","IPK_CUM"
"P","HUK","G3","SMTA","LL","GRD","IPK_CUM"
"P","HUK","G4","SRJN","GRD","PNS","IPK_SM"
"L","HUK","G5","SMTA","LL","LL","IPK_SM"
"L","HUK","G1","SMTA","LL","LL","IPK_CUM"
"P","HUK","G3","SMP","PDG","PSN","IPK_CUM"
"L","HUK","G4","SRJN","PNS","PNS","IPK_M"
"L","HUK","G5","SRJN","LL","PS","IPK_CUM"
"P","HUK","G3","SRJN","PS","PS","IPK_SM"
"L","HUK","G3","SRJN","PDG","LL","IPK_CUM"
"P","HUK","G3","SMTA","PDG","PDG","IPK_SM"
"L","HUK","G3","SRJN","LL","GRD","IPK_CUM"
"P","HUK","G4","SRJN","PS","GRD","IPK_CUM"
"L","HUK","G4","SMTA","LL","PNS","IPK_SM"
"L","HUK","G4","SMTA","PNS","LL","IPK_CUM"
"L","HUK","G4","SMTA","LL","PNS","IPK_SM"
"P","HUK","G4","SRJN","LL","GRD","IPK_SM"
"P","HUK","G4","SRJN","GRD","LL","IPK_CUM"
"L","HUK","G4","SRJN","PNS","GRD","IPK_SM"
"P","HUK","G3","SRJN","PDG","PDG","IPK_SM"
"P","HUK","G4","SMTA","LL","PS","IPK_SM"
"L","HUK","G4","SMTA","PNS","PSN","IPK_SM"
"L","HUK","G4","SRJN","PNS","PDG","IPK_SM"
"P","HUK","G3","SRJN","GRD","BPN","IPK_CUM"
"P","HUK","G1","SD","LL","PSN","IPK_SM"
"P","HUK","G3","SRJN","PSN","PSN","IPK_CUM"
"L","HUK","G3","SMTA","PDG","PS","IPK_SM"
"P","HUK","G4","SRJN","LL","PDG","IPK_SM"
"L","HUK","G4","SRJN","PDG","PDG","IPK_SM"
"L","HUK","G4","SRJN","GRD","LL","IPK_SM"
"L","HUK","G4","SRJN","PNS","PNS","IPK_M"
"P","HUK","G5","SMTA","PNS","LL","IPK_SM"
"L","HUK","G2","SMP","LL","PSN","IPK_SM"
"P","HUK","G6","SMTA","PDG","PDG","IPK_M"
"P","HUK","G7","SRJN","PDG","PDG","IPK_SM"
"P","HUK","G4","SRJN","LL","PNS","IPK_CUM"
"P","HUK","G4","SMTA","LL","PSN","IPK_CUM"
"P","HUK","G3","SRJN","LL","LL","IPK_SM"
"P","HUK","G3","SMTA","PDG","LL","IPK_SM"
"L","HUK","G3","SRJN","GRD","PDG","IPK_SM"
"P","HUK","G5","SRJN","LL","PDG","IPK_SM"
"P","HUK","G4","SRJN","LL","PSN","IPK_CUM"
"P","HUK","G4","SRJN","PNS","PNS","IPK_SM"
"L","HUK","G4","SMTA","PNS","PNS","IPK_CUM"
"L","HUK","G7","SMTA","LL","LL","IPK_SM"
"P","HUK","G3","SRJN","LL","PS","IPK_SM"
"P","HUK","G3","SMTA","LL","PNS","IPK_SM"
"L","HUK","G5","SMTA","PDG","LL","IPK_SM"
"L","HUK","G5","SRJN","GRD","GRD","IPK_M"
"L","HUK","G4","SMTA","LL","LL","IPK_M"
"L","HUK","G3","SRJN","PNS","PS","IPK_SM"
"L","HUK","G3","SRJN","GRD","PNS","IPK_SM"
"P","HUK","G4","SRJN","GRD","GRD","IPK_SM"
"P","HUK","G3","SMTA","LL","GRD","IPK_CUM"
"L","HUK","G5","SRJN","GRD","PSN","IPK_SM"
"P","HUK","G6","SRJN","GRD","PNS","IPK_SM"
"P","HUK","G4","SRJN","LL","GRD","IPK_SM"
"P","HUK","G2","SMTA","LL","PS","IPK_SM"
"P","HUK","G4","SRJN","PNS","PNS","IPK_CUM"
"L","HUK","G3","SMTA","PDG","PDG","IPK_SM"
"P","HUK","G4","SRJN","PNS","PS","IPK_SM"
"L","HUK","G3","SMTA","PSN","PSN","IPK_CUM"
"P","HUK","G1","SMP","BPN","LL","IPK_CUM"
"P","HUK","G3","SMTA","PS","PSN","IPK_SM"
"P","HUK","G3","SMTA","PDG","PDG","IPK_CUM"
"L","HUK","G3","SMTA","PS","PNS","IPK_SM"
"P","HUK","G3","SMTA","LL","PSN","IPK_SM"
"P","HUK","G5","SMTA","PDG","PDG","IPK_CUM"
"L","HUK","G7","SRJN","PS","PS","IPK_SM"
"L","HUK","G4","SRJN","GRD","GRD","IPK_SM"
"L","HUK","G3","SRJN","PS","PS","IPK_SM"
"P","HUK","G6","SMTA","LL","PS","IPK_CUM"
"P","HUK","G2","SMTA","LL","PDG","IPK_SM"
"L","HUK","G7","SRJN","LL","PDG","IPK_M"
"P","HUK","G2","SMP","BPN","LL","IPK_CUM"
"L","HUK","G2","SD","PDG","PDG","IPK_CUM"
"L","HUK","G3","SRJN","GRD","PDG","IPK_SM"
"P","HUK","G4","SMTA","LL","PNS","IPK_CUM"
"P","HUK","G4","SRJN","GRD","PS","IPK_SM"
"P","HUK","G4","SRJN","LL","PSN","IPK_SM"
"L","HUK","G2","SD","PDG","BPN","IPK_CUM"
"L","HUK","G7","SRJN","PDG","PNS","IPK_M"
"P","HUK","G5","SMTA","LL","PNS","IPK_SM"
"L","HUK","G2","SRJN","PSN","PDG","IPK_CUM"
"P","HUK","G5","SRJN","PDG","PDG","IPK_KM"
"P","HUK","G3","SMTA","LL","PDG","IPK_CUM"
"P","HUK","G4","SMTA","PDG","PDG","IPK_M"
"L","HUK","G3","SMTA","PS","PS","IPK_CUM"
"L","HUK","G3","SRJN","PDG","PDG","IPK_SM"
"L","HUK","G4","SRJN","GRD","PSN","IPK_SM"
"P","HUK","G5","SMTA","PDG","PDG","IPK_SM"
"L","HUK","G3","SMP","PDG","PDG","IPK_SM"
"P","HUK","G4","SMTA","LL","PNS","IPK_SM"
"L","HUK","G3","SMTA","PDG","PDG","IPK_SM"
"P","HUK","G2","SMTA","BPN","LL","IPK_CUM"
"P","HUK","G4","SMTA","GRD","PNS","IPK_CUM"
"L","HUK","G4","SRJN","PS","PNS","IPK_SM"
"P","HUK","G3","SMTA","PDG","PDG","IPK_M"
"P","HUK","G3","SMTA","PDG","PS","IPK_CUM"
"P","HUK","G5","SMTA","PDG","PDG","IPK_SM"
"L","HUK","G3","SRJN","GRD","BPN","IPK_SM"
"P","HUK","G4","SMP","PDG","GRD","IPK_CUM"
"L","HUK","G4","SMTA","PS","PS","IPK_SM"
"L","HUK","G5","SRJN","GRD","PNS","IPK_SM"
"L","HUK","G4","SRJN","GRD","PNS","IPK_SM"
"P","HUK","G2","SMTA","LL","PS","IPK_SM"
"L","HUK","G5","SRJN","PNS","PS","IPK_SM"
"L","HUK","G2","SMP","LL","PSN","IPK_SM"
"P","HUK","G4","SRJN","GRD","GRD","IPK_CUM"
"P","HUK","G1","SMTA","LL","PS","IPK_CUM"
"L","HUK","G3","SRJN","LL","PNS","IPK_M"
"P","HUK","G5","SRJN","PNS","PNS","IPK_SM"
"L","HUK","G3","SRJN","PSN","PSN","IPK_SM"
"P","HUK","G4","SMTA","LL","PSN","IPK_SM"
"L","HUK","G4","LL","LL","PDG","IPK_SM"
"L","HUK","G3","SD","PDG","PNS","IPK_CUM"
"L","HUK","G4","SRJN","GRD","LL","IPK_SM"
"L","HUK","G3","LL","PDG","BPN","IPK_SM"
"L","HUK","G5","SRJN","LL","LL","IPK_M"
"P","HUK","G1","SD","BPN","BPN","IPK_CUM"
"P","HUK","G4","SMTA","LL","LL","IPK_SM"
"P","HUK","G4","SMTA","LL","PNS","IPK_CUM"
"L","HUK","G4","SRJN","GRD","LL","IPK_SM"
"L","HUK","G5","SRJN","PDG","PDG","IPK_M"
"L","HUK","G4","SMP","LL","GRD","IPK_CUM"
"L","HUK","G3","SRJN","GRD","PNS","IPK_CUM"
"P","HUK","G2","SMTA","LL","PDG","IPK_CUM"
"P","HUK","G2","SMTA","PDG","PDG","IPK_CUM"
"L","HUK","G4","SRJN","GRD","GRD","IPK_SM"
"P","HUK","G2","SMTA","LL","PDG","IPK_CUM"
"P","HUK","G4","SRJN","GRD","PDG","IPK_CUM"
"P","HUK","G4","SMTA","GRD","GRD","IPK_SM"
"P","HUK","G5","SMTA","PDG","PNS","IPK_CUM"
"L","HUK","G4","SRJN","PNS","PNS","IPK_SM"
"P","HUK","G6","SRJN","PNS","GRD","IPK_CUM"
"P","HUK","G4","SRJN","GRD","GRD","IPK_SM"
"P","HUK","G5","SRJN","GRD","PS","IPK_SM"
"P","HUK","G2","SMP","LL","PDG","IPK_CUM"
"L","HUK","G6","SRJN","PNS","PNS","IPK_SM"
"L","HUK","G3","SRJN","LL","PNS","IPK_SM"
"P","HUK","G2","SRJN","PS","LL","IPK_CUM"
"P","HUK","G3","SRJN","PNS","PNS","IPK_CUM"
"L","HUK","G4","SMTA","PDG","GRD","IPK_SM"
"P","HUK","G2","SMTA","LL","PS","IPK_SM"
"L","HUK","G5","SMTA","PNS","PNS","IPK_SM"
"L","HUK","G6","SRJN","PDG","PDG","IPK_SM"
"L","HUK","G3","SMTA","LL","PNS","IPK_SM"
"L","HUK","G2","SRJN","LL","GRD","IPK_SM"
"L","HUK","G7","SMTA","PDG","PDG","IPK_SM"
"P","HUK","G6","SRJN","GRD","LL","IPK_CUM"
"P","HUK","G3","SRJN","GRD","PSN","IPK_SM"
"L","HUK","G5","SRJN","PDG","GRD","IPK_SM"
"P","HUK","G5","SRJN","GRD","LL","IPK_CUM"
"P","HUK","G5","SMTA","PDG","PDG","IPK_SM"
"P","HUK","G4","SRJN","PNS","PSN","IPK_SM"
"P","HUK","G6","SMTA","PDG","PDG","IPK_SM"
"P","HUK","G3","SRJN","LL","PNS","IPK_SM"
"P","HUK","G4","SMTA","LL","PNS","IPK_CUM"
"P","HUK","G4","SRJN","GRD","PSN","IPK_CUM"
"P","HUK","G3","SMTA","PDG","PSN","IPK_SM"
"P","HUK","G5","SRJN","PNS","PNS","IPK_CUM"
"P","HUK","G3","SMTA","LL","PDG","IPK_CUM"
