,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
182,L,AKU,G3,SMTA,LL,PNS,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
183,P,AKU,G3,SMTA,LL,BPN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LTW
184,P,AKU,G2,SD,LL,BPN,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,LC
185,L,AKU,G4,SMTA,LL,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LTW
186,L,AKU,G3,SRJN,PSN,PSN,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_B,LTW
187,P,AKU,G3,SMTA,LL,PSN,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,LLW
188,P,AKU,G5,SRJN,PDG,PNS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LTW
189,P,AKU,G4,SMTA,LL,PS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
190,P,AKU,G3,SMTA,PDG,LL,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LTW
191,P,AKU,G2,SD,LL,BPN,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,LLW
192,P,AKU,G4,SD,BPN,BPN,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
193,P,AKU,G4,SMP,LL,PSN,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
194,L,AKU,G4,SMP,LL,PNS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LLW
195,L,AKU,G6,SRJN,PNS,PNS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
196,L,AKU,G6,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LLW
197,L,AKU,G4,SRJN,GRD,PNS,IPS1_CUM,IPS2_M,SKS1_B,SKS2_SB,LLW
