,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,kelas
3266,P,KOM,G4,SRJN,LL,PNS,IPS1_M,IPS2_M,IPK_KM-LLW
5548,L,HUK,G3,SRJN,LL,PS,IPS1_KM,IPS2_KM,IPK_KM-LTW
5963,P,HUK,G4,SRJN,LL,PSN,IPS1_CUM,IPS2_M,IPK_SM-LTW
6111,P,HUK,G3,SMTA,LL,PS,IPS1_SM,IPS2_SM,IPK_SM-LTW
6350,P,HUK,G5,SMTA,PDG,PNS,IPS1_SM,IPS2_SM,IPK_CUM-LTW
684,L,AKU,G3,SRJN,GRD,LL,IPS1_SM,IPS2_SM,IPK_SM-LTW
843,L,AKU,G3,SMTA,LL,PNS,IPS1_SM,IPS2_M,IPK_SM-LLW
948,L,AKU,G3,SMTA,PS,PS,IPS1_SM,IPS2_SM,IPK_SM-LTW
5924,L,HUK,G5,SRJN,PNS,PS,IPS1_KM,IPS2_KM,IPK_SM-LTW
1072,P,AKU,G4,SMP,PDG,GRD,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
1169,P,AKU,G6,SMTA,PSN,PDG,IPS1_KM,IPS2_SM,IPK_SM-LTW
1870,P,EKO,G3,SMP,PDG,PDG,IPS1_SM,IPS2_CUM,IPK_SM-LTW
1107,L,AKU,G4,SRJN,GRD,PSN,IPS1_SM,IPS2_SM,IPK_SM-LLW
5842,L,HUK,G4,SRJN,LL,PNS,IPS1_M,IPS2_KM,IPK_SM-LLW
6254,L,HUK,G3,SRJN,GRD,PDG,IPS1_M,IPS2_M,IPK_SM-LLW
3423,P,KOM,G5,SMTA,LL,PSN,IPS1_SM,IPS2_SM,IPK_SM-LLW
5982,L,HUK,G2,SMTA,PDG,PDG,IPS1_KM,IPS2_KM,IPK_SM-LLW
5538,P,HUK,G4,SRJN,PSN,PNS,IPS1_KM,IPS2_M,IPK_SM-LLW
1860,P,EKO,G3,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,IPK_KM-LLW
5449,L,HUK,G3,SMTA,LL,PNS,IPS1_SM,IPS2_SM,IPK_SM-LTW
1980,L,EKO,G4,SRJN,GRD,PDG,IPS1_SM,IPS2_SM,IPK_CUM-LTW
5754,P,HUK,G6,SRJN,LL,PNS,IPS1_KM,IPS2_KM,IPK_SM-LLW
5425,L,HUK,G2,SMTA,LL,PDG,IPS1_M,IPS2_KM,IPK_SM-LTW
5900,L,HUK,G5,SRJN,LL,PS,IPS1_KM,IPS2_KM,IPK_SM-LLW
