,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,SKS_S1,SKS_S2,IP_S1,IP_S2,STATUS_LULUS
200,P,FISIKA,G4,SRJN,PS,PS,SKS1_B,SKS2_SB,IPS1_M,IPS2_SM,LTW
201,L,FISIKA,G2,SMTA,GRD,LL,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,LTW
202,P,FISIKA,G3,SMTA,LL,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_M,LLW_1
203,L,FISIKA,G3,SMTA,PNS,BPN,SKS1_B,SKS2_B,IPS1_M,IPS2_M,LTW
204,P,FISIKA,G4,SD,BPN,BPN,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,LTW
205,P,FISIKA,G3,SMP,PNS,BPN,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,LTW
206,L,FISIKA,G1,LL,BPN,BPN,SKS1_B,SKS2_B,IPS1_M,IPS2_SM,LTW
207,P,FISIKA,G3,SMP,LL,PS,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_SM,LLW_1
208,P,FISIKA,G2,SMP,PDG,LL,SKS1_B,SKS2_B,IPS1_SM,IPS2_M,LLW_1
209,P,FISIKA,G3,SMTA,PS,PS,SKS1_B,SKS2_B,IPS1_SM,IPS2_M,LTW
210,P,FISIKA,G3,SD,LL,PDG,SKS1_B,SKS2_B,IPS1_M,IPS2_SM,LTW
211,L,FISIKA,G4,SRJN,PNS,LL,SKS1_B,SKS2_B,IPS1_M,IPS2_KM,LLW_1
212,L,FISIKA,G5,SRJN,GRD,PNS,SKS1_B,SKS2_SB,IPS1_M,IPS2_CUM,LTW
213,L,FISIKA,G2,SMP,LL,BPN,SKS1_B,SKS2_B,IPS1_M,IPS2_SM,LTW
214,P,FISIKA,G3,SRJN,PNS,BPN,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,LTW
215,L,FISIKA,G3,SMTA,LL,PS,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
216,P,FISIKA,G2,SMP,BPN,BPN,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,LTW
217,L,FISIKA,G4,SRJN,LL,PNS,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
218,P,FISIKA,G3,SMTA,LL,PDG,SKS1_B,SKS2_B,IPS1_M,IPS2_M,LLW_2
219,L,FISIKA,G4,SMTA,PDG,PNS,SKS1_B,SKS2_B,IPS1_KM,IPS2_M,LTW
220,P,FISIKA,G3,SMTA,PS,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_M,LTW
221,P,FISIKA,G3,SMP,LL,PNS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,LTW
222,P,FISIKA,G2,SMTA,LL,BPN,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,LTW
223,P,FISIKA,G2,SD,PDG,PDG,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,LTW
224,P,FISIKA,G2,LL,BPN,BPN,SKS1_B,SKS2_B,IPS1_M,IPS2_SM,LLW_1
225,P,FISIKA,G4,SRJN,LL,PS,SKS1_B,SKS2_B,IPS1_SM,IPS2_SM,LTW
