,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
839,L,KOM,G5,SMP,LL,PDG,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
840,P,KOM,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
841,L,KOM,G3,SMP,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
842,P,KOM,G3,SMTA,GRD,PDG,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
843,P,KOM,G4,SMP,PDG,PDG,IPS1_M,IPS2_CUM,SKS1_SB,SKS2_B,LLW
844,P,KOM,G3,SRJN,LL,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
845,L,KOM,G5,SMTA,PS,PS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LLW
846,P,KOM,G2,SMTA,PNS,PDG,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
847,L,KOM,G3,SMTA,LL,PSN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LTW
848,L,KOM,G4,SMTA,PDG,PDG,IPS1_M,IPS2_SM,SKS1_SB,SKS2_SB,LLW
849,L,KOM,G4,SRJN,GRD,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
850,L,KOM,G3,SRJN,LL,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
851,P,KOM,G3,SMTA,PNS,PS,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LTW
852,P,KOM,G3,SMTA,PDG,PDG,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LLW
853,L,KOM,G4,SRJN,PDG,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
854,P,KOM,G2,SMTA,LL,PDG,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
855,L,KOM,G3,SMTA,PS,PDG,IPS1_KM,IPS2_M,SKS1_SB,SKS2_SB,LLW
856,P,KOM,G3,SMTA,LL,PS,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
857,L,KOM,G3,SMTA,PDG,PDG,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
858,L,KOM,G3,SMTA,PDG,PDG,IPS1_M,IPS2_SM,SKS1_SB,SKS2_SB,LTW
859,L,KOM,G4,SRJN,LL,PS,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,LLW
860,L,KOM,G3,SRJN,GRD,PNS,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,LLW
861,P,KOM,G4,SD,LL,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
862,P,KOM,G2,SRJN,PNS,PDG,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
863,P,KOM,G3,SD,PDG,PSN,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
864,P,KOM,G2,SD,LL,BPN,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
865,P,KOM,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
866,P,KOM,G3,SRJN,LL,PDG,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LLW
867,P,KOM,G5,SMP,PDG,PDG,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
868,P,KOM,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
869,P,KOM,G3,SMTA,LL,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
870,P,KOM,G5,SRJN,LL,PNS,IPS1_M,IPS2_SM,SKS1_SB,SKS2_SB,LLW
871,P,KOM,G3,SRJN,PS,PNS,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,LLW
872,L,KOM,G4,SRJN,GRD,PSN,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
873,L,KOM,G3,SRJN,LL,LL,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
874,P,KOM,G5,SMP,LL,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
875,P,KOM,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
876,P,KOM,G7,SMTA,LL,PDG,IPS1_KM,IPS2_SM,SKS1_SB,SKS2_B,LTW
877,P,KOM,G2,SMP,PDG,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
878,P,KOM,G3,SRJN,LL,GRD,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
879,P,KOM,G4,SMTA,PS,LL,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
880,L,KOM,G4,SRJN,PNS,PSN,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
881,P,KOM,G4,SRJN,LL,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
882,P,KOM,G5,SMTA,LL,GRD,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
883,L,KOM,G2,SMTA,PDG,PDG,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
884,P,KOM,G7,SMTA,LL,PNS,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LC
885,L,KOM,G3,SMTA,PNS,LL,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
886,L,KOM,G4,SMTA,LL,LL,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LLW
