,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IPK_TERAKHIR
3417,P,KOM,G7,SRJN,PNS,PNS,IPK_SM
3225,P,KOM,G2,SMTA,PS,LL,IPK_SM
6034,L,HUK,G7,SMTA,LL,PS,IPK_SM
809,P,AKU,G4,SMTA,PNS,PS,IPK_SM
5692,L,HUK,G4,SRJN,PDG,GRD,IPK_SM
6249,L,HUK,G4,SRJN,PS,PNS,IPK_SM
5699,P,HUK,G3,SMTA,LL,PSN,IPK_SM
5527,P,HUK,G3,SRJN,LL,PS,IPK_SM
1776,P,EKO,G3,SMTA,GRD,GRD,IPK_SM
1790,L,EKO,G3,SRJN,GRD,GRD,IPK_SM
2111,P,EKO,G4,SRJN,PNS,PNS,IPK_SM
5952,L,HUK,G3,SRJN,PNS,PDG,IPK_SM
5443,L,HUK,G1,SMTA,LL,PSN,IPK_SM
769,L,AKU,G5,SRJN,PNS,PNS,IPK_SM
902,P,AKU,G4,SRJN,PNS,PSN,IPK_SM
2073,P,EKO,G2,SMTA,LL,PSN,IPK_SM
1953,L,EKO,G2,SMTA,LL,PDG,IPK_SM
5378,L,HUK,G7,SRJN,PDG,PDG,IPK_SM
5826,L,HUK,G3,SD,BPN,PSN,IPK_SM
1030,L,AKU,G5,SRJN,GRD,PSN,IPK_SM
3457,P,KOM,G4,SRJN,GRD,GRD,IPK_SM
3284,P,KOM,G6,SD,LL,BPN,IPK_SM
1169,P,AKU,G6,SMTA,PSN,PDG,IPK_SM
5153,L,HUK,G3,SMTA,PDG,PDG,IPK_SM
679,P,AKU,G4,SMTA,PDG,PDG,IPK_SM
3106,L,KOM,G2,SMTA,LL,PSN,IPK_SM
1205,P,AKU,G5,SMTA,PNS,PS,IPK_SM
1034,P,AKU,G3,SRJN,PNS,PNS,IPK_SM
6244,L,HUK,G4,SRJN,GRD,GRD,IPK_SM
3114,P,KOM,G3,SMTA,PDG,PDG,IPK_SM
5351,L,HUK,G6,SRJN,PNS,GRD,IPK_SM
1106,P,AKU,G4,SRJN,PS,ABRI,IPK_SM
6322,P,HUK,G4,SMTA,LL,PSN,IPK_SM
2171,P,EKO,G2,SD,LL,BPN,IPK_SM
737,P,AKU,G3,SRJN,PNS,GRD,IPK_SM
6099,P,HUK,G4,SRJN,PNS,PS,IPK_SM
5649,P,HUK,G3,SMP,LL,PSN,IPK_SM
1051,L,AKU,G3,SRJN,GRD,PNS,IPK_SM
2151,P,EKO,G4,SMTA,PS,PS,IPK_SM
3260,P,KOM,G3,SMTA,PS,PS,IPK_SM
3328,L,KOM,G5,SRJN,LL,PS,IPK_SM
2278,P,EKO,G3,SMTA,LL,PS,IPK_SM
1067,L,AKU,G4,SRJN,GRD,GRD,IPK_SM
5484,L,HUK,G3,SMTA,LL,PNS,IPK_SM
1152,P,AKU,G5,SRJN,PDG,PS,IPK_SM
685,P,AKU,G1,SMP,PDG,BPN,IPK_SM
5978,L,HUK,G5,SRJN,GRD,GRD,IPK_SM
6079,P,HUK,G6,SRJN,PNS,PNS,IPK_SM
3364,L,KOM,G7,SMTA,PDG,LL,IPK_SM
2089,P,EKO,G4,SRJN,GRD,GRD,IPK_SM
5117,L,HUK,G3,SRJN,BPN,PSN,IPK_SM
842,L,AKU,G4,SMTA,LL,PDG,IPK_SM
1121,L,AKU,G4,SRJN,LL,LL,IPK_SM
689,P,AKU,G4,SMTA,LL,GRD,IPK_SM
2236,L,EKO,G2,SRJN,PDG,PDG,IPK_SM
5794,P,HUK,G4,SMTA,LL,ABRI,IPK_SM
6227,P,HUK,G4,SRJN,PNS,PS,IPK_SM
3428,L,KOM,G4,SRJN,PNS,PS,IPK_SM
1813,P,EKO,G3,SRJN,PS,GRD,IPK_SM
3149,L,KOM,G4,SD,PDG,PNS,IPK_SM
1123,L,AKU,G5,SRJN,PS,PS,IPK_SM
1841,P,EKO,G3,SMTA,GRD,PNS,IPK_SM
5374,P,HUK,G3,SMTA,LL,GRD,IPK_SM
824,P,AKU,G3,SMTA,PSN,PS,IPK_SM
691,P,AKU,G4,SRJN,GRD,PNS,IPK_SM
3123,L,KOM,G3,SMTA,LL,PNS,IPK_SM
5785,L,HUK,G2,SRJN,GRD,ABRI,IPK_SM
1946,L,EKO,G2,SMTA,LL,PS,IPK_SM
5923,P,HUK,G3,SMP,LL,ABRI,IPK_SM
3166,P,KOM,G3,SRJN,LL,PS,IPK_SM
3148,P,KOM,G4,SRJN,GRD,PS,IPK_SM
3094,P,KOM,G4,SRJN,ABRI,LL,IPK_SM
658,L,AKU,G4,SMTA,LL,PNS,IPK_SM
6063,L,HUK,G7,SRJN,GRD,GRD,IPK_SM
6065,L,HUK,G4,SRJN,LL,ABRI,IPK_SM
1947,P,EKO,G3,SD,PDG,PDG,IPK_SM
3326,P,KOM,G4,SRJN,LL,PS,IPK_SM
5529,L,HUK,G3,SMTA,PDG,LL,IPK_SM
5876,L,HUK,G2,SMP,LL,PDG,IPK_SM
818,L,AKU,G3,SRJN,GRD,PSN,IPK_SM
2042,P,EKO,G2,SMP,BPN,BPN,IPK_SM
5409,L,HUK,G4,SRJN,LL,PS,IPK_SM
1956,L,EKO,G4,SRJN,PNS,PNS,IPK_SM
6001,P,HUK,G3,SRJN,PDG,PS,IPK_SM
1193,L,AKU,G4,SMP,PDG,LL,IPK_SM
5870,L,HUK,G3,SMTA,PNS,PNS,IPK_SM
3449,P,KOM,G4,SMTA,LL,ABRI,IPK_SM
6239,L,HUK,G3,SMTA,PS,PNS,IPK_SM
3472,P,KOM,G3,SMTA,LL,PNS,IPK_SM
2107,L,EKO,G1,SD,LL,BPN,IPK_SM
948,L,AKU,G3,SMTA,PS,PS,IPK_SM
6317,P,HUK,G5,SRJN,PNS,PNS,IPK_SM
2057,L,EKO,G3,SMTA,LL,PSN,IPK_SM
1167,P,AKU,G3,SMTA,LL,PS,IPK_SM
3398,P,KOM,G3,SMTA,PS,LL,IPK_SM
5581,L,HUK,G3,SMTA,PS,PDG,IPK_SM
5535,P,HUK,G3,SMTA,PDG,PNS,IPK_SM
3093,P,KOM,G4,SRJN,PS,PNS,IPK_SM
2143,L,EKO,G2,SD,BPN,BPN,IPK_SM
5600,L,HUK,G3,SD,PDG,PSN,IPK_SM
3230,P,KOM,G4,SRJN,LL,PS,IPK_SM
2199,P,EKO,G4,SMTA,PDG,PDG,IPK_SM
5458,L,HUK,G3,SMTA,PNS,GRD,IPK_SM
6128,P,HUK,G5,SMTA,LL,PS,IPK_SM
1945,P,EKO,G3,SMTA,LL,PDG,IPK_SM
1188,P,AKU,G5,SRJN,PNS,PNS,IPK_SM
5844,L,HUK,G3,SRJN,PSN,PNS,IPK_SM
748,L,AKU,G4,SRJN,GRD,BPN,IPK_SM
816,L,AKU,G3,SRJN,LL,PSN,IPK_SM
2269,L,EKO,G3,SRJN,PDG,PS,IPK_SM
820,P,AKU,G3,SRJN,LL,PDG,IPK_CUM
5708,P,HUK,G7,SRJN,LL,PS,IPK_CUM
2263,P,EKO,G3,SMTA,LL,PSN,IPK_CUM
5972,P,HUK,G3,SMTA,GRD,GRD,IPK_CUM
741,P,AKU,G3,SMTA,LL,PNS,IPK_CUM
6258,L,HUK,G2,SD,PDG,BPN,IPK_CUM
6232,P,HUK,G1,SMP,BPN,LL,IPK_CUM
3452,P,KOM,G4,SMTA,PNS,PS,IPK_CUM
1195,P,AKU,G4,SRJN,LL,GRD,IPK_CUM
1165,L,AKU,G4,SRJN,PDG,GRD,IPK_CUM
5460,P,HUK,G3,SMTA,LL,PSN,IPK_CUM
1115,P,AKU,G4,SRJN,GRD,PSN,IPK_CUM
5709,P,HUK,G3,SMTA,PDG,PDG,IPK_CUM
5440,L,HUK,G4,SMTA,LL,PSN,IPK_CUM
5596,P,HUK,G2,SD,BPN,BPN,IPK_CUM
1175,L,AKU,G4,SRJN,GRD,BPN,IPK_CUM
2084,P,EKO,G4,SRJN,PNS,PS,IPK_CUM
709,P,AKU,G2,SMTA,LL,PDG,IPK_CUM
2242,P,EKO,G5,LL,PSN,PSN,IPK_CUM
1028,L,AKU,G3,SRJN,LL,PS,IPK_CUM
864,P,AKU,G4,SMP,PDG,PDG,IPK_CUM
3397,P,KOM,G3,SMTA,PNS,BPN,IPK_CUM
6002,P,HUK,G4,SRJN,PNS,PNS,IPK_CUM
2080,P,EKO,G5,SRJN,PDG,PDG,IPK_CUM
2152,L,EKO,G4,SMTA,PDG,PS,IPK_CUM
2296,L,EKO,G3,SMTA,LL,PDG,IPK_CUM
1114,P,AKU,G2,SMP,LL,PDG,IPK_CUM
928,P,AKU,G3,SRJN,GRD,GRD,IPK_CUM
6309,P,HUK,G3,SMTA,ABRI,ABRI,IPK_CUM
5492,P,HUK,G3,SMP,PDG,PDG,IPK_CUM
2103,P,EKO,G1,LL,LL,LL,IPK_CUM
2237,P,EKO,G7,SRJN,PS,GRD,IPK_CUM
1145,P,AKU,G3,SMTA,LL,PS,IPK_CUM
6148,P,HUK,G4,SRJN,PS,GRD,IPK_CUM
2136,P,EKO,G3,SMTA,LL,PSN,IPK_CUM
1039,P,AKU,G4,SRJN,PNS,PNS,IPK_CUM
2321,P,EKO,G4,LL,PNS,BPN,IPK_CUM
1111,L,AKU,G4,SRJN,LL,PS,IPK_CUM
6392,P,HUK,G5,SRJN,PNS,PNS,IPK_CUM
979,L,AKU,G4,SRJN,LL,LL,IPK_CUM
2071,P,EKO,G2,SRJN,LL,LL,IPK_CUM
5996,P,HUK,G3,SRJN,LL,GRD,IPK_CUM
2157,P,EKO,G3,SMTA,PDG,PNS,IPK_CUM
814,P,AKU,G3,SMTA,GRD,LL,IPK_CUM
1027,L,AKU,G4,SRJN,GRD,PNS,IPK_CUM
2239,P,EKO,G3,SMTA,GRD,PDG,IPK_CUM
5792,L,HUK,G5,SMTA,PDG,PDG,IPK_CUM
6173,P,HUK,G3,SRJN,PSN,PSN,IPK_CUM
5850,P,HUK,G4,SRJN,LL,PDG,IPK_CUM
3113,P,KOM,G3,SRJN,GRD,GRD,IPK_CUM
949,P,AKU,G5,SRJN,PNS,ABRI,IPK_CUM
2113,P,EKO,G4,SRJN,LL,PS,IPK_CUM
5930,P,HUK,G5,SMTA,PNS,LL,IPK_CUM
2292,P,EKO,G2,SMTA,LL,PDG,IPK_CUM
5540,P,HUK,G3,SMTA,PS,PS,IPK_CUM
1000,L,AKU,G4,SRJN,PS,GRD,IPK_CUM
