,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
3086,P,KOM,G3,SRJN,LL,PDG,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,LLW
5837,P,HUK,G4,SRJN,PNS,GRD,IPS1_CUM,IPS2_M,SKS1_B,SKS2_B,LC
3089,P,KOM,G3,SMTA,PDG,ABRI,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
2220,L,EKO,G7,SRJN,GRD,PS,IPS1_M,IPS2_M,SKS1_B,SKS2_SB,LLW
3271,P,KOM,G3,SMTA,LL,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
1850,P,EKO,G3,SMTA,PS,PDG,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LTW
803,L,AKU,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
6072,P,HUK,G4,SRJN,GRD,GRD,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LTW
5426,L,HUK,G3,SRJN,GRD,GRD,IPS1_M,IPS2_M,SKS1_SB,SKS2_SB,LLW
806,P,AKU,G4,SMTA,LL,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_B,LTW
3420,P,KOM,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,LLW
3414,P,KOM,G4,SMP,LL,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
1906,L,EKO,G4,SRJN,GRD,PSN,IPS1_M,IPS2_KM,SKS1_SB,SKS2_SB,LLW
1824,P,EKO,G2,SD,BPN,BPN,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LC
6127,L,HUK,G4,SRJN,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LTW
2314,P,EKO,G4,SMTA,LL,PSN,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LC
1029,P,AKU,G3,SD,BPN,BPN,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
2048,L,EKO,G7,SRJN,PNS,PNS,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,LTW
6384,P,HUK,G6,SMTA,PDG,PDG,IPS1_M,IPS2_M,SKS1_B,SKS2_SB,LLW
