,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
608,L,BIO,G2,SD,LL,GRD,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LTW
609,P,BIO,G2,SMTA,PDG,PDG,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,LTW
610,P,BIO,G3,SMTA,LL,BPN,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
611,P,BIO,G3,SMP,LL,ABRI,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
612,L,BIO,G2,SD,BPN,BPN,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,LLW
613,P,BIO,G3,SRJN,PNS,LL,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
614,P,BIO,G3,SMTA,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LTW
615,P,BIO,G3,SMTA,GRD,GRD,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LTW
616,L,BIO,G1,SRJN,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_C,SKS2_SB,LLW
617,P,BIO,G3,LL,PS,PS,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,LTW
618,L,BIO,G4,SRJN,LL,PSN,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,LLW
619,P,BIO,G1,SD,LL,PS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
620,P,BIO,G2,SMTA,LL,GRD,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,LTW
621,P,BIO,G2,SD,PDG,BPN,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
622,L,BIO,G2,SRJN,GRD,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LLW
623,P,BIO,G1,SMTA,BPN,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LTW
624,L,BIO,G2,SMP,LL,LL,IPS1_SM,IPS2_M,SKS1_B,SKS2_SB,LLW
625,L,BIO,G1,LL,BPN,BPN,IPS1_KM,IPS2_SM,SKS1_B,SKS2_K,LLW
626,P,BIO,G2,SMP,LL,LL,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,LTW
627,P,BIO,G2,SMTA,PDG,GRD,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LTW
628,P,BIO,G2,SRJN,GRD,PSN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LTW
629,P,BIO,G3,SMTA,LL,PS,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
630,P,BIO,G3,SMTA,PDG,PDG,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
631,P,BIO,G3,SD,PDG,PDG,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,LLW
632,P,BIO,G2,SD,PDG,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LTW
633,P,BIO,G2,SD,BPN,BPN,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
634,P,BIO,G3,SMTA,LL,PDG,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LTW
635,L,BIO,G3,SRJN,GRD,GRD,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,LLW
636,L,BIO,G2,SMTA,GRD,GRD,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LTW
637,P,BIO,G2,SMP,LL,PS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LTW
638,L,BIO,G1,SRJN,PS,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
639,P,BIO,G1,SMTA,BPN,LL,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LTW
640,P,BIO,G1,SRJN,PDG,PDG,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LTW
641,P,BIO,G4,SRJN,GRD,PS,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,LTW
642,P,BIO,G3,SRJN,LL,PNS,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,LTW
643,P,BIO,G3,SRJN,GRD,GRD,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LTW
644,P,BIO,G2,SMP,PDG,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
645,P,BIO,G2,SMTA,PNS,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LTW
646,L,BIO,G2,SMTA,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
647,P,BIO,G1,SMTA,GRD,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LTW
648,P,BIO,G3,SRJN,GRD,PSN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LTW
649,P,BIO,G3,SD,LL,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
650,P,BIO,G3,SMTA,LL,PSN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LTW
651,L,BIO,G4,SMTA,GRD,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
652,L,BIO,G3,SD,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
653,P,BIO,G2,SMP,LL,PSN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LTW
654,P,BIO,G3,SD,PDG,PDG,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,LTW
655,L,BIO,G1,LL,PDG,PDG,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
656,L,BIO,G3,SMTA,LL,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
657,P,BIO,G2,SMTA,LL,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LTW
658,L,BIO,G2,SMP,LL,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
659,L,BIO,G2,SMTA,PDG,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LTW
660,P,BIO,G3,LL,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LTW
661,P,BIO,G2,SD,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LTW
